"title","link","date","ep.num","available"
"Sentencing","https://www.thisamericanlife.org/radio-archives/episode/143/transcript","10.22.1999",143,TRUE
"Where Words Fail","https://www.thisamericanlife.org/radio-archives/episode/144/transcript","11.05.1999",144,TRUE
"Poultry Slam 1999","https://www.thisamericanlife.org/radio-archives/episode/145/transcript","11.26.1999",145,TRUE
"Urban Nature","https://www.thisamericanlife.org/radio-archives/episode/146/transcript","12.10.1999",146,TRUE
"A Teenager&#039;s Guide to God","https://www.thisamericanlife.org/radio-archives/episode/147/transcript","12.17.1999",147,TRUE
"The Angels Wanna Wear My Red Suit","https://www.thisamericanlife.org/radio-archives/episode/148/transcript","12.24.1999",148,TRUE
"Bedside Diplomacy","https://www.thisamericanlife.org/radio-archives/episode/149/transcript","01.14.2000",149,TRUE
"Kids As Adults","https://www.thisamericanlife.org/radio-archives/episode/150/transcript","01.21.2000",150,TRUE
"Primary","https://www.thisamericanlife.org/radio-archives/episode/151/transcript","01.28.2000",151,TRUE
"Crush","https://www.thisamericanlife.org/radio-archives/episode/152/transcript","02.11.2000",152,TRUE
"Dolls","https://www.thisamericanlife.org/radio-archives/episode/153/transcript","03.03.2000",153,TRUE
"In Dog We Trust","https://www.thisamericanlife.org/radio-archives/episode/154/transcript","03.10.2000",154,TRUE
"Hoaxing Yourself","https://www.thisamericanlife.org/radio-archives/episode/155/transcript","03.17.2000",155,TRUE
"What Remains","https://www.thisamericanlife.org/radio-archives/episode/156/transcript","03.31.2000",156,TRUE
"Secret Life of Daytime","https://www.thisamericanlife.org/radio-archives/episode/157/transcript","04.14.2000",157,TRUE
"Mob Mentality","https://www.thisamericanlife.org/radio-archives/episode/158/transcript","05.05.2000",158,TRUE
"Mother&#039;s Day","https://www.thisamericanlife.org/radio-archives/episode/159/transcript","05.12.2000",159,TRUE
"Character Assassination","https://www.thisamericanlife.org/radio-archives/episode/160/transcript","05.19.2000",160,TRUE
"Million Bubbles","https://www.thisamericanlife.org/radio-archives/episode/161/transcript","06.02.2000",161,TRUE
"Moving","https://www.thisamericanlife.org/radio-archives/episode/162/transcript","06.23.2000",162,TRUE
"Can You Fight City Hall…If You Are City Hall?","https://www.thisamericanlife.org/radio-archives/episode/163/transcript","06.30.2000",163,TRUE
"Crime Scene","https://www.thisamericanlife.org/radio-archives/episode/164/transcript","07.07.2000",164,TRUE
"Americans In Paris","https://www.thisamericanlife.org/radio-archives/episode/165/transcript","07.28.2000",165,TRUE
"Nobody&#039;s Family Is Going to Change","https://www.thisamericanlife.org/radio-archives/episode/166/transcript","08.11.2000",166,TRUE
"Memo to the People of the Future","https://www.thisamericanlife.org/radio-archives/episode/167/transcript","09.08.2000",167,TRUE
"The Fix Is In","https://www.thisamericanlife.org/radio-archives/episode/168/transcript","09.15.2000",168,TRUE
"Pursuit of Happiness","https://www.thisamericanlife.org/radio-archives/episode/169/transcript","09.29.2000",169,TRUE
"Immigration","https://www.thisamericanlife.org/radio-archives/episode/170/transcript","10.13.2000",170,TRUE
"Election","https://www.thisamericanlife.org/radio-archives/episode/171/transcript","11.03.2000",171,TRUE
"24 Hours at the Golden Apple","https://www.thisamericanlife.org/radio-archives/episode/172/transcript","11.17.2000",172,TRUE
"Three Kinds of Deception","https://www.thisamericanlife.org/radio-archives/episode/173/transcript","12.15.2000",173,TRUE
"Birthdays, Anniversaries, and Milestones","https://www.thisamericanlife.org/radio-archives/episode/174/transcript","12.29.2000",174,TRUE
"Babysitting","https://www.thisamericanlife.org/radio-archives/episode/175/transcript","01.05.2001",175,TRUE
"Two Nations, One President","https://www.thisamericanlife.org/radio-archives/episode/176/transcript","01.26.2001",176,TRUE
"American Limbo","https://www.thisamericanlife.org/radio-archives/episode/177/transcript","02.09.2001",177,TRUE
"Superpowers","https://www.thisamericanlife.org/radio-archives/episode/178/transcript","02.23.2001",178,TRUE
"Cicero","https://www.thisamericanlife.org/radio-archives/episode/179/transcript","03.16.2001",179,TRUE
"Return to Childhood","https://www.thisamericanlife.org/radio-archives/episode/180/transcript","03.23.2001",180,TRUE
"The Friendly Man","https://www.thisamericanlife.org/radio-archives/episode/181/transcript","04.06.2001",181,TRUE
"Cringe","https://www.thisamericanlife.org/radio-archives/episode/182/transcript","04.13.2001",182,TRUE
"The Missing Parents Bureau","https://www.thisamericanlife.org/radio-archives/episode/183/transcript","04.20.2001",183,TRUE
"Neighbors","https://www.thisamericanlife.org/radio-archives/episode/184/transcript","05.11.2001",184,TRUE
"Golden Calf","https://www.thisamericanlife.org/radio-archives/episode/185/transcript","05.25.2001",185,TRUE
"Prom","https://www.thisamericanlife.org/radio-archives/episode/186/transcript","06.08.2001",186,TRUE
"Father&#039;s Day &#039;01","https://www.thisamericanlife.org/radio-archives/episode/187/transcript","06.15.2001",187,TRUE
"Kid Logic","https://www.thisamericanlife.org/radio-archives/episode/188/transcript","06.22.2001",188,TRUE
"Hitler&#039;s Yacht","https://www.thisamericanlife.org/radio-archives/episode/189/transcript","07.13.2001",189,TRUE
"Living the Dream","https://www.thisamericanlife.org/radio-archives/episode/190/transcript","08.03.2001",190,TRUE
"I Know What You Did This Summer","https://www.thisamericanlife.org/radio-archives/episode/191/transcript","08.17.2001",191,TRUE
"Meet the Pros","https://www.thisamericanlife.org/radio-archives/episode/192/transcript","08.31.2001",192,TRUE
"Stories of Loss","https://www.thisamericanlife.org/radio-archives/episode/193/transcript","09.14.2001",193,TRUE
"Before and After","https://www.thisamericanlife.org/radio-archives/episode/194/transcript","09.21.2001",194,TRUE
"War Stories","https://www.thisamericanlife.org/radio-archives/episode/195/transcript","09.28.2001",195,TRUE
"Rashomon","https://www.thisamericanlife.org/radio-archives/episode/196/transcript","10.05.2001",196,TRUE
"Before It Had A Name","https://www.thisamericanlife.org/radio-archives/episode/197/transcript","10.26.2001",197,TRUE
"How to Win Friends and Influence People","https://www.thisamericanlife.org/radio-archives/episode/198/transcript","11.02.2001",198,TRUE
"House on Loon Lake","https://www.thisamericanlife.org/radio-archives/episode/199/transcript","11.16.2001",199,TRUE
"Hearts and Minds","https://www.thisamericanlife.org/radio-archives/episode/200/transcript","11.30.2001",200,TRUE
"Them","https://www.thisamericanlife.org/radio-archives/episode/201/transcript","12.07.2001",201,TRUE
"Faith","https://www.thisamericanlife.org/radio-archives/episode/202/transcript","12.21.2001",202,TRUE
"Recordings for Someone","https://www.thisamericanlife.org/radio-archives/episode/203/transcript","01.11.2002",203,TRUE
"81 Words","https://www.thisamericanlife.org/radio-archives/episode/204/transcript","01.18.2002",204,TRUE
"Plan B","https://www.thisamericanlife.org/radio-archives/episode/205/transcript","02.01.2002",205,TRUE
"Somewhere in the Arabian Sea","https://www.thisamericanlife.org/radio-archives/episode/206/transcript","03.01.2002",206,TRUE
"Special Ed","https://www.thisamericanlife.org/radio-archives/episode/207/transcript","03.08.2002",207,TRUE
"Office Politics","https://www.thisamericanlife.org/radio-archives/episode/208/transcript","03.15.2002",208,TRUE
"Didn&#039;t Ask to Be Born","https://www.thisamericanlife.org/radio-archives/episode/209/transcript","03.29.2002",209,TRUE
"Perfect Evidence","https://www.thisamericanlife.org/radio-archives/episode/210/transcript","04.19.2002",210,TRUE
"Naming Names","https://www.thisamericanlife.org/radio-archives/episode/211/transcript","05.03.2002",211,TRUE
"The Other Man","https://www.thisamericanlife.org/radio-archives/episode/212/transcript","05.10.2002",212,TRUE
"Devil on My Shoulder","https://www.thisamericanlife.org/radio-archives/episode/213/transcript","05.24.2002",213,TRUE
"Family Physics","https://www.thisamericanlife.org/radio-archives/episode/214/transcript","05.31.2002",214,TRUE
"Ask An Expert","https://www.thisamericanlife.org/radio-archives/episode/215/transcript","06.14.2002",215,TRUE
"Give the People What They Want","https://www.thisamericanlife.org/radio-archives/episode/216/transcript","07.12.2002",216,TRUE
"Give It to Them","https://www.thisamericanlife.org/radio-archives/episode/217/transcript","08.02.2002",217,TRUE
"Act V","https://www.thisamericanlife.org/radio-archives/episode/218/transcript","08.09.2002",218,TRUE
"High Speed Chase","https://www.thisamericanlife.org/radio-archives/episode/219/transcript","08.16.2002",219,TRUE
"Testosterone","https://www.thisamericanlife.org/radio-archives/episode/220/transcript","08.30.2002",220,TRUE
"Fake I.D.","https://www.thisamericanlife.org/radio-archives/episode/221/transcript","09.20.2002",221,TRUE
"Suckers","https://www.thisamericanlife.org/radio-archives/episode/222/transcript","09.27.2002",222,TRUE
"Classifieds","https://www.thisamericanlife.org/radio-archives/episode/223/transcript","10.11.2002",223,TRUE
"Middlemen","https://www.thisamericanlife.org/radio-archives/episode/224/transcript","10.25.2002",224,TRUE
"Home Movies","https://www.thisamericanlife.org/radio-archives/episode/225/transcript","11.08.2002",225,TRUE
"Reruns","https://www.thisamericanlife.org/radio-archives/episode/226/transcript","12.06.2002",226,TRUE
"Why We Fight","https://www.thisamericanlife.org/radio-archives/episode/227/transcript","12.20.2002",227,TRUE
"You Are So Beautiful…To Me","https://www.thisamericanlife.org/radio-archives/episode/228/transcript","01.03.2003",228,TRUE
"Secret Government","https://www.thisamericanlife.org/radio-archives/episode/229/transcript","01.10.2003",229,TRUE
"Come Back to Afghanistan","https://www.thisamericanlife.org/radio-archives/episode/230/transcript","01.31.2003",230,TRUE
"Time to Save the World","https://www.thisamericanlife.org/radio-archives/episode/231/transcript","02.07.2003",231,TRUE
"The Real Story","https://www.thisamericanlife.org/radio-archives/episode/232/transcript","02.14.2003",232,TRUE
"Starting from Scratch","https://www.thisamericanlife.org/radio-archives/episode/233/transcript","03.07.2003",233,TRUE
"Say Anything","https://www.thisamericanlife.org/radio-archives/episode/234/transcript","03.14.2003",234,TRUE
"The Balloon Goes Up","https://www.thisamericanlife.org/radio-archives/episode/235/transcript","03.21.2003",235,TRUE
"My Two Cents","https://www.thisamericanlife.org/radio-archives/episode/236/transcript","04.11.2003",236,TRUE
"Regime Change","https://www.thisamericanlife.org/radio-archives/episode/237/transcript","04.18.2003",237,TRUE
